Temperature,Humidity,CO2,Illumination,Time,Growth_rate
21.5,67.9,525.0,186.0,13.6,1.34
27.3,41.5,731.0,230.0,10.2,1.38
26.3,72.3,846.0,162.0,16.8,1.2
31.0,56.1,929.0,203.0,22.3,1.16
33.1,77.3,1126.0,236.0,14.8,1.13
28.9,51.0,999.0,116.0,9.9,2.53
22.9,60.3,438.0,124.0,18.7,1.24
20.0,80.0,1082.0,255.0,23.0,1.25
20.0,80.0,1200.0,255.0,23.0,1.66
20.0,45.0,1200.0,100.0,8.0,1.81
35.0,45.0,1200.0,100.0,8.0,1.36
20.7,45.4,1196.0,110.0,8.1,1.63
20.1,53.2,1197.0,100.0,8.9,1.27
21.7,45.4,1199.0,102.0,8.4,1.09
34.5,45.3,400.0,107.0,8.4,0.54
20.1,79.8,1157.0,250.0,22.8,1.35
20.7,46.7,1196.0,254.0,21.7,1.38
20.0,69.8,1195.0,102.0,8.1,1.24
20.0,45.0,1197.7254523559109,104.54898232593824,8.0,1.832751824629099
27.495768074193823,48.2134657418001,977.8041579982404,124.22053489778715,10.48883276493368,1.8904762822340566
30.330427309082786,63.94376586560715,941.3214679762289,135.4328050459069,11.624679968878512,1.4158258440851483
